transaction_id,timestamp,customer_id,amount,merchant_category,location,device_type,transaction_hour,day_of_week,days_since_last_tx,avg_transaction_amount,transaction_count_24h,is_international,is_night,is_fraud,log_amount,amount_normalized,is_weekend
TX_00000000,2026-04-02 12:09:17.348404,CUST_000765,94.97678598094453,entertainment,San Antonio,tablet,12,3,3.6929283740694854,391.5828746938143,0,0,0,0,4.564106349527937,0.24254581116502755,0
TX_00000001,2026-04-02 12:09:36.348404,CUST_000283,146.49747680043322,entertainment,Houston,mobile,12,3,0.42091928020075303,118.99229641495725,1,0,0,0,4.993811069195817,1.2311509334146995,0
TX_00000002,2026-04-02 12:09:39.348404,CUST_000355,28.39925277782152,online,Chicago,tablet,12,3,0.8107921519743979,425.1518549378303,5,0,0,0,3.3809692583012945,0.0667979039676878,0
TX_00000003,2026-04-02 12:09:53.348404,CUST_000926,322.3147727723192,utilities,Los Angeles,desktop,12,3,1.995540079458223,256.1490416229893,4,0,0,0,5.778626377384707,1.2583095011017662,0
TX_00000004,2026-04-02 12:10:36.348404,CUST_000151,114.47567662859919,healthcare,Phoenix,mobile,12,3,1.1549812288553605,135.65561033475709,2,0,0,0,4.749059915824067,0.8438698285025424,0
TX_00000005,2026-04-02 12:10:46.348404,CUST_000423,213.06329486058988,utilities,Phoenix,mobile,12,3,1.0728801998777417,255.07692604062672,0,0,0,0,5.3662717416670045,0.8352903501222795,0
TX_00000006,2026-04-02 12:10:53.348404,CUST_000473,214.57633048771552,online,New York,tablet,12,3,4.75869277010732,71.35568879595519,2,0,0,0,5.373315048628298,3.0071369796640353,0
TX_00000007,2026-04-02 12:11:19.348404,CUST_000095,127.80110813772284,grocery,New York,tablet,12,3,1.5011221837157673,189.75755053034317,3,0,0,0,4.858269417186992,0.6734968267694139,0
TX_00000008,2026-04-02 12:11:41.348404,CUST_000358,10.449432705775793,grocery,Dallas,mobile,12,3,1.1164774723672266,72.21274941168575,4,0,0,0,2.437940183425745,0.1447034324396576,0
TX_00000009,2026-04-02 12:11:44.348404,CUST_000568,180.4323895301357,grocery,Houston,tablet,12,3,1.2506758370212234,164.3805505029206,1,0,0,0,5.2008830748301795,1.097650476154902,0
TX_00000010,2026-04-02 12:12:09.348404,CUST_000247,78.85558688580088,utilities,Chicago,mobile,12,3,5.909770769816298,14.0464179647029,3,0,0,0,4.380219839474552,5.61392855345443,0
TX_00000011,2026-04-02 12:12:15.348404,CUST_000013,35.34318116978229,grocery,Los Angeles,desktop,12,3,2.381577817429055,376.62491207726464,0,0,0,0,3.5930065982061126,0.09384185707431811,0
TX_00000012,2026-04-02 12:13:30.348404,CUST_000791,115.0171660907116,online,San Antonio,tablet,12,3,0.36412746314813077,53.78505212383368,2,0,0,0,4.753738163698498,2.1384596937063156,0
TX_00000013,2026-04-02 12:14:37.348404,CUST_000671,46.54266222787507,entertainment,New York,desktop,12,3,0.4283265554616777,13.441465725184809,4,0,0,0,3.861627460109074,3.4626180789695944,0
TX_00000014,2026-04-02 12:15:24.348404,CUST_000851,733.6560392381517,travel,San Antonio,tablet,12,3,0.5653585150331633,322.53423745119454,3,0,0,0,6.599402415853268,2.2746609632385697,0
TX_00000015,2026-04-02 12:16:03.348404,CUST_000537,39.904422527966254,restaurant,Houston,desktop,12,3,0.026587096184603927,106.94427200862796,2,0,0,0,3.7112381874712237,0.3731328642336906,0
TX_00000016,2026-04-02 12:17:03.348404,CUST_000371,14.511380969025673,gas_station,San Antonio,tablet,12,3,0.031547128504633974,26.31936603839284,2,0,0,0,2.7415740105572692,0.5513575421177506,0
TX_00000017,2026-04-02 12:18:10.348404,CUST_000327,60.25816429971661,retail,San Diego,tablet,12,3,5.652923610535739,72.95814203742326,4,0,0,0,4.11509713523114,0.8259278898413792,0
TX_00000018,2026-04-02 12:18:57.348404,CUST_000628,5.185279904419648,gas_station,Los Angeles,mobile,12,3,2.4621535716237823,61.56836477018831,1,0,0,0,1.8221722601833763,0.08421987369283494,0
TX_00000019,2026-04-02 12:20:47.348404,CUST_000765,65.39587061138016,education,Philadelphia,desktop,12,3,1.3097689228536167,351.5586940193523,2,0,0,0,4.195634864960887,0.18601693465097555,0
TX_00000020,2026-04-02 12:22:14.348404,CUST_000803,1009.6429989617244,travel,Los Angeles,tablet,12,3,1.0594731027253508,83.55167340468182,2,0,0,0,6.918342039906088,12.084054786928409,0
TX_00000021,2026-04-02 12:22:19.348404,CUST_000424,86.07516580957497,gas_station,Philadelphia,desktop,12,3,1.8557074879757902,53.30382274057062,0,1,0,0,4.466771720465871,1.614802867488553,0
TX_00000022,2026-04-02 12:23:50.348404,CUST_000666,284.4467369549141,travel,Dallas,desktop,12,3,1.6887649068171575,37.72961037019058,5,1,0,0,5.6540554511132415,7.539084929953315,0
TX_00000023,2026-04-02 12:23:57.348404,CUST_000713,27.766997550296,healthcare,Austin,desktop,12,3,3.060438468608218,17.179823515175286,2,0,0,0,3.3592288116829083,1.6162562744471065,0
TX_00000024,2026-04-02 12:26:36.348404,CUST_000259,120.72398100900006,gas_station,Houston,desktop,12,3,0.6184532933928419,269.69464464240696,1,0,0,0,4.801756030778848,0.44763210322203534,0
TX_00000025,2026-04-02 12:28:17.348404,CUST_000973,179.04635195912363,entertainment,New York,mobile,12,3,4.088211794764928,200.82842127373343,2,0,0,0,5.193214328623994,0.8915389107952983,0
TX_00000026,2026-04-02 12:30:24.348404,CUST_000069,47.89883673784486,restaurant,San Antonio,mobile,12,3,3.158101220999894,37.16592208737964,1,0,0,0,3.8897536076057437,1.288783758014436,0
TX_00000027,2026-04-02 12:31:15.348404,CUST_000193,100.1909423625932,utilities,Houston,tablet,12,3,1.104551528511159,59.71848487256736,5,0,0,0,4.617009250501874,1.6777207689778064,0
TX_00000028,2026-04-02 12:33:35.348404,CUST_000863,293.0030323189695,online,Phoenix,mobile,12,3,0.3989812365920052,285.452962011031,7,0,0,0,5.683590081295593,1.0264494376052287,0
TX_00000029,2026-04-02 12:34:19.348404,CUST_000408,95.90870914551488,online,San Antonio,tablet,12,3,3.5266025861502754,34.074765427683545,1,0,0,0,4.573769392520657,2.8146550076495975,0
TX_00000030,2026-04-02 12:35:05.348404,CUST_000837,28.8420269922711,utilities,Los Angeles,mobile,12,3,1.387282011344176,244.23014670926955,2,0,0,0,3.395917701723923,0.11809363987568873,0
TX_00000031,2026-04-02 12:35:27.348404,CUST_000776,317.4947190346395,travel,New York,desktop,12,3,0.12921165767928094,103.59508195872415,0,0,0,0,5.76360589413579,3.064766328976315,0
TX_00000032,2026-04-02 12:36:18.348404,CUST_000349,43.32447298710566,grocery,San Diego,mobile,12,3,0.39830453153635753,31.552100350672575,3,0,0,0,3.791536962145779,1.373109000846029,0
TX_00000033,2026-04-02 12:36:36.348404,CUST_000444,135.1966964862766,utilities,Austin,mobile,12,3,2.8686549982494247,30.250998161853815,1,0,0,0,4.914100138548105,4.4691648111221065,0
TX_00000034,2026-04-02 12:37:22.348404,CUST_000693,300.8908719429906,retail,Phoenix,tablet,12,3,1.2002487461148608,141.13623137906876,1,0,0,0,5.710065600889648,2.13191799868063,0
TX_00000035,2026-04-02 12:37:55.348404,CUST_000169,240.5790011677499,online,Austin,tablet,12,3,1.0978733201270223,33.35633632351283,1,0,0,0,5.487196546586873,7.2123928369845025,0
TX_00000036,2026-04-02 12:37:59.348404,CUST_000980,160.61362085278654,entertainment,Los Angeles,mobile,12,3,0.6680451281829878,136.85989619445078,1,0,0,0,5.085208429990369,1.173562346011036,0
TX_00000037,2026-04-02 12:38:43.348404,CUST_000297,192.31733072265743,entertainment,Philadelphia,mobile,12,3,0.20249742213169195,339.6490947488491,0,0,0,0,5.264333039322368,0.566223592807939,0
